Date,Open,High,Low,Close,Volume
08/13/2025,"182.62","183.97","179.35","181.59","179,871,703"
08/12/2025,"182.96","184.48","179.46","183.16","145,729,203"
08/11/2025,"182.05","183.84","180.25","182.06","138,323,203"
08/08/2025,"181.55","183.30","180.40","182.70","123,396,703"
08/07/2025,"181.57","183.88","178.80","180.77","151,878,406"
08/06/2025,"176.33","179.90","176.25","179.42","137,192,297"
08/05/2025,"179.62","180.26","175.90","178.26","156,407,594"
08/04/2025,"175.16","180.20","174.52","180.00","148,174,594"
08/01/2025,"174.09","176.54","170.89","173.72","204,528,984"
07/31/2025,"182.90","183.30","175.93","177.87","221,685,406"
07/30/2025,"176.51","179.89","176.04","179.27","174,312,188"
07/29/2025,"177.96","179.38","175.02","175.51","154,077,500"
07/28/2025,"174.02","177.00","173.97","176.75","140,023,500"
07/25/2025,"173.61","174.72","172.96","173.50","122,316,797"
07/24/2025,"172.44","173.83","171.30","173.74","128,984,602"
07/23/2025,"169.53","171.26","167.97","170.78","154,082,203"
07/22/2025,"171.34","171.39","164.58","167.03","193,114,297"
07/21/2025,"172.75","173.38","171.00","171.38","123,126,094"
07/18/2025,"173.64","174.25","171.26","172.41","146,456,406"
07/17/2025,"172.02","174.16","170.83","173.00","160,841,109"
07/16/2025,"171.06","171.75","168.90","171.37","158,831,500"
07/15/2025,"171.19","172.40","169.20","170.70","230,627,391"
07/14/2025,"165.37","165.49","162.02","164.07","136,975,812"
07/11/2025,"163.72","167.89","163.47","164.92","193,633,297"
07/10/2025,"164.32","164.50","161.61","164.10","167,704,094"
07/09/2025,"161.22","164.42","161.16","162.88","183,656,406"
07/08/2025,"159.33","160.22","158.39","160.00","138,132,984"
07/07/2025,"158.20","159.31","157.34","158.24","140,139,016"
07/03/2025,"158.37","160.98","157.77","159.34","143,716,094"
07/02/2025,"152.98","157.60","152.97","157.25","171,224,094"
07/01/2025,"156.29","157.20","151.49","153.30","213,143,594"
06/30/2025,"158.40","158.66","155.96","157.99","194,580,297"
06/27/2025,"156.04","158.71","155.26","157.75","263,234,500"
06/26/2025,"155.98","156.72","154.00","155.02","198,145,703"
06/25/2025,"149.27","154.45","149.26","154.31","269,146,500"
06/24/2025,"145.56","147.96","145.50","147.90","187,566,094"
06/23/2025,"142.50","144.78","142.03","144.17","154,308,891"
